"task_id","task_name","row_id","row_number","comment_type","comment_content","v1_quality_score","v1_quality_level","v1_quality_reason","v1_emotion_score","v1_emotion_type","expected_quality_level","expected_quality_score_band","expected_emotion_type","error_type","label_reason"
"SddBOxS0nP","template (5)","7efLslGYZ0","6","段评","爽","85","好","精炼有力，单字‘爽’高度凝练地传达了强烈的正向情绪和阅读快感，符合段评即时反馈特性，互动价值高，表达完整且有感染力","95","正向","","","","",""
"SddBOxS0nP","template (5)","Ma7fUV6EUQ","301","段评","哈哈","75","中","精炼有效，符合段评场景中对轻松幽默情节的即时正向反馈，'哈哈'准确传达了阅读时的发笑情绪，虽简短但互动意图明确、无灌水感。","90","正向","","","","",""
"SddBOxS0nP","template (5)","EwI8U_rrz7","1161","段评","来了","75","中","精炼有效，虽仅两字但明确传达读者即时到场、开启阅读的互动信号，符合段评场景中常见的轻量确认式反馈，具备清晰语境指向和自然情绪响应。","85","正向","","","","",""
"SddBOxS0nP","template (5)","R8eEVeyZ2l","132","段评","快","75","中","精炼有效，'快'字准确传达读者对情节推进、节奏或角色行动的即时期待或催促感，符合段评短平快特性，具备明确互动意图和上下文响应性。","85","正向","","","","",""
"SddBOxS0nP","template (5)","ilisFmMEUD","1536","段评","牛逼","85","好","精炼有力，高度凝练地表达了强烈认可与赞叹，符合段评即时反应特征，情绪饱满且互动意图明确，无冗余信息。","95","正向","","","","",""
"SddBOxS0nP","template (5)","y9rqRG8cka","2","段评","仙帝？简直是一个笑话","78","中","评论精炼有力，用反问+否定句式表达强烈质疑，准确针对原文‘仙帝’设定提出价值判断，具备明确观点和情绪张力，符合段评即时反应特征；虽短但信息完整，非水评，互动价值高。","25","负向","","","","",""
"SddBOxS0nP","template (5)","zQLTFYIT8i","71","段评","前面不是已经放松警惕了吗？这还放松个屁","82","好","评论精炼有力，逻辑清晰，用反问+粗口式表达强化质疑语气，准确抓住情节矛盾点（前后行为不一致），体现深度阅读和即时情绪反应，互动价值高。","88","正向","","","","",""
"SddBOxS0nP","template (5)","qUbQpdRCOj","4","段评","划重点，说不定后面又倒回去了[狗头]","82","好","评论精炼有效，'划重点'体现主动阅读和信息抓取意识，'说不定后面又倒回去了'展现对情节走向的预判与调侃式参与，[狗头]精准强化反讽/戏谑语气，整体互动性强、情绪鲜活，符合段评即时反应特征。","88","正向","","","","",""
"SddBOxS0nP","template (5)","5ORNaTRxt7","7","段评","什么星球？有月亮？","72","中","评论精炼且具互动性，以疑问形式自然承接原文场景，体现阅读中的即时好奇与代入感；虽简短但信息明确，有逻辑指向（对虚构设定的合理质疑），非灌水或无意义表达。","58","中性","","","","",""
"SddBOxS0nP","template (5)","EX79ouGzcw","43","段评","我我怀疑你这仙帝能不能打得过真丹境","76","中","评论精炼且具互动性，以调侃口吻提出一个具体、有逻辑张力的战力对比问题（仙帝 vs 真丹境），体现对修真体系设定的关注与戏谑式质疑，符合段评即时反应特点；虽略带口语重复‘我我’，但反而强化了犹豫/玩味语气，不影响表意清晰度和情绪传达。","85","正向","","","","",""
